,Unnamed: 0,title,is_popular
4229,4230,David Duffy-led CYBGâs shares plunge 23% as PPI scandal costs soar,0
2343,2344,Another GOP congressman from Texas says he won't run for reelection,1
3950,3951,Tories lose working majority ahead of crunch Brexit vote,0
3243,3244,"Never mind the politics, get a Brexit deal done, says UK business",1
4356,4357,Leus du Plooy: Derbyshire batsman signs new contract until 2022,0
3386,3387,NFL Playoffs Picture 2019: NFC South Teams Ranked,0
88,89,Chamba ranked 4th in development in nationwide rankings announced by NITI Aayog,1
2805,2806,"The Designer Bringing Whimsy, and Magic Mushrooms, to Fine Jewelry",0
979,980,"RBI holds interest rates amid Covid surge, pledges to buy Rs 1 lakh crore govt bondsIn the first monetary policy of the 2021-22 fiscal, the central bank sticks to its accommodative stance as long as necessary, amid concerns of rising infections",0
1999,2000,Margaret Atwood and Salman Rushdie on Booker Prize Shortlist,0
1119,1120,Trump repeats environment criticism of India in 1st speech after White House departure,1
3900,3901,James Patterson announces grants for thousands of teachers,0
4729,4730,Veteran tells Bernie Sanders during town hall he's considering taking his life over medical debt - CNN Video,1
3040,3041,YouTube says it's removing more hate speech than before but controversial channels remain up,0
1237,1238,"Paxos gets U.S. regulator nod for gold-backed token, dollar-backed stablecoin",0
2942,2943,"The 10 largest grocery chains in the world by sales (WMT, TGT, COST, KR, CA, TSCO)",0
4164,4165,"Powerball Results, Numbers for 9/4/19: Did Anyone Win Wednesday's $80 Million Jackpot?",0
1478,1479,"California boat that burned was in a 'worst-case scenario,' sheriff says",1
648,649,China's factory output surges as recovery acceleratesCountry's ability to contain the coronavirus pandemic before other major economies were able to do so has allowed it to rebound faster,1
2058,2059,"Advert complaints against Toyota, Tesco, Lidl upheld",0
1223,1224,"8 pieces of advice from some of the world's richest millennials on success, money, and getting things done",1
995,996,"No groups in Cong, will fight poll battles together: G23 member Anand Sharma thaws a little'Congress has historically stood for internal discussion, issues are debated'",1
1752,1753,Officials: Saudi Arabia pushes for settlement in south Yemen,0
829,830,mission marsIndia's next Mars mission likely to be an orbiter,0
4245,4246,Iran condemns US 'deceit' over Saudi oil attacks,1
1272,1273,Spider-Man staying in Marvel Cinematic Universe,1
3031,3032,"Preview: Singer, actress and author Olivia Newton-John talks about breast cancer, beating the odds and not asking ""Why me?""",1
3231,3232,Scarlett Johansson 'would work' with Woody Allen 'anytime',0
3132,3133,Harry: 'I fly privately to keep my family safe',1
2293,2294,Insurers Pitch New Ways to Pay for Million-Dollar Therapies - The Wall Street Journal,0
1902,1903,PlÃ¡cido Domingo disputes new allegations of sexual misconduct,0
3200,3201,Residents at three Dublin buildings ordered to vacate premises,1
1246,1247,"Preview: Singer, actress and author Olivia Newton-John talks about breast cancer, beating the odds and not asking ""Why me?""",1
4535,4536,U.S. Stocks Drop on Worries About Growth,1
