,title,is_popular
1,"Saina, a biopic based on badminton star Saina Nehwal, truly stands outIn the movie, Parineeti Chopra has the Haryanvi tinge – the swagger in walk, but the simple and honest ways",0
2,"In a first, IAF to participate in Exercise Desert Flag VI in UAEThe Exercise Desert Flag is an annual multi-national large force employment warfare exercise hosted by the UAE Air Force",1
3,"Sukhbir tests positive, Akalis cancel rallies till March 31",0
4,"Shouldn’t say anything that damages nation’s reputation, that enemies can use, Naidu tells new MPsOur student leader had to resign from Oxford university due to racial discrimination, these things are happening in so called mature democracies",1
5,Delhi HC asks JNU to respond to plea by Narwal for permission to provisionally register for PhD 3rd semester,0
6,SC to take up contempt plea against comic artist Kunal Kamra after 4 weeksKamra has defended his allegedly scandalous tweets against the judiciary,0
7,"Utilisation of government’s e-procurement portal to reflect in IAS, IPS officers performance report",0
8,"28 garment workers killed in flooded factory in MoroccoLocal authorities said firefighters and emergency workers rescued 10 people from the factory, in the basement of a residential villa",1
9,Need structures to fight polls: Rahul Gandhi to Nicholas Burns,0
10,"UK begins door-to-door testing of 80,000 people as new COVID variants spreadThose in the affected areas will be tested, even if they are asymptomatic, to break any chain of transmission in the community",0
11,Three killed in accidents,0
12,"Relieved after bail of Ranjit Singh, says brother",1
13,"Aadhar manipulation, bogus certificates and General category grabbing scholarships: CAG confirms scam in PMS schemeThe State Vigilance Bureau is also investigating the case and has registered multiple FIRs so far",0
14,"Centre indifferent, punishing Punjab for farm protest: Minister AshuSays each step was being taken to bleed the state economically",1
15,Only 27% health staff take vaccine in Sangrur,0
16,"Sensex sinks 1,145 points; Nifty drops below 14,700Dr Reddy’s, M&M, Tech Mahindra, Axis Bank, IndusInd Bank and TCS among top losers",1
17,Man arrested after passing on information to his friend for robbing relative in DelhiDetailed investigation revealed that one of the suspects was also riding a black motorcycle,1
18,Jammu-Srinagar highway opens after two days,1
19,"With focus on Olympics, Rijiju says national sports camps to be held at GulmargThe Minister said water sports were coming up in a big way across Jammu and Kashmir",0
20,Novak Djokovic breaks Federer's record for most weeks as World No. 118-time Grand Slam champion Djokovic grabbed his ninth Australian Open title last month,0
21,"Punjab records 16 more COVID-19 deaths, 628 fresh casesPunjab is seeing an upswing in fresh coronavirus cases",1
22,SKM will ask farmers in poll-bound states to defeat BJP: Outfit leadersProtesting farmers to block KMP Expressway on March 6,1
23,"worldIf current curbs ease, schools will reopen: Merkel",0
24,Two killed in mishaps,0
25,"Fight not yet over, says sister on Nodeep Kaur’s bailNodeep Kaur was on Friday granted bail by the Punjab and Haryana High Court",1
26,"MoS for Home Kishan Reddy takes COVID-19 jab in HyderabadAfter drawing initial flak for slow testing, Telangana has picked up the COVID-19 vaccination drive",0
27,Wearing face mask during exercise safe: StudyThis suggests that masks could be worn safely to reduce COVID-19 transmission between people visiting an indoor gym,0
28,"12 get life imprisonment in 2010 Hisar double murder caseThe convicts were involved in a double murder case during a dispute on the encroachment on panchayat land in the village. The incident occurred on February 28, 2010",1
29,2018 Amritsar train tragedy victims’ kin see a ray of hope for futureSay job promise made by Punjab Cabinet should be fulfilled soon,1
30,Suspension of 10 Akali MLAs revokedThe 10 Akali legislators were suspended on Friday for disrupting Chief Minister Amarinder Singh’s speech on the Governor’s address twice,0
31,"No rise in retail petrol/diesel prices despite new cess in BudgetThe rise in petrol and diesel prices is on hold for the last five days, but before that it had risen 10 times in January",1
32,Ruckus in Punjab Assembly over farm laws as Budget session beginsAkalis raise slogans as Governor begins address; AAP MLAs ride bicycles to Vidhan Sabha,1
33,This alternative surgery may prevent total knee replacementTotal knee replacement is frequently performed on older patients with end-stage disease and limited mobility,1
34,"UP: Two PAC personnel on farmers' protest duty killed, five others injured in road crash",0
35,"Taiwan tells firms in Myanmar to fly flags to distinguish from ChinaChina is viewed as being supportive of the military junta that took power in Myanmar, overthrowing the elected government of Aung San Suu Kyi",0
36,Rest of Punjab (Red) win second match,0
37,"In briefNOCs within 30 days, says Jalandhar DC",0
38,"Disinvestment in ITDC hotels to affect employeesAccording to Tourism Ministry, nine hotels run by the ITDC had been so far handed over to the respective state governments, where these were located, since the divestment of the ITDC hotels started in 2015",1
39,"Six months on, farmers protest still going strongResentment amongst leftist and Sikhs, a cause of concern",1
40,Sukhbir Badal announces 87-member working committee of Shiromani Akali Dal3-member disciplinary committee led by Jathedar Tota Singh also constituted,1
41,Cricket trials tomorrow,0
42,"Uttarakhand CM Trivendra Singh Rawat in Delhi, meets Nadda, BaluniComes amid restlessness in Uttarakhand BJP unit over Rawat and his style of functioning; speculations rife about having him replaced",1
43,"Disclose Cabinet note, annexure related to EWS quota: Central Information Commission",0
44,NHAI daily toll collection through FASTag reaches record Rs 104 croreNHAI said the FASTag drive has been well supported by the highway users as approximately 20 lakh new FASTag users have been added during last two weeks,0
45,Haryana: 54 school students in Karnal test COVID-19 positiveThe Haryana education department had reopened schools for classes 9-12 in December last year and classes 3-5 from February 24,1
46,"44 NEET, JEE aspirants join 1st batch at Shahpur DIET",1
47,"Alia Bhatt claps Ranbir Kapoor’s hand tightly in this picture; ‘major missing’, says actressAlia’s “Ganguabi Kathiawadi” director Sanjay Leela Bhansali has also reportedly tested positive for Covid-19 and is under quarantine",1
48,"Mexican senator proposes regulating Facebook, Twitter to protect ‘freedom of expression’Ricardo Monreal, who leads President Andres Manuel Lopez Obrador’s National Regeneration Movement party in the upper house, proposed the legislation and is seeking public comment",0
49,"Renewal of registration for 15-year-old govt vehicles to stop from April 1, 2022: Draft notificationFinance Minister Nirmala Sitharaman on February 1 had announced vehicle scrapping policy",0
50,Ex-officer on trial for George Floyd's death asks to show jury an earlier arrest,0
51,Government extends benefits to peace-time Chakra awardees’ families,1
52,Himachal Pradesh: 2 moderate intensity quakes hit ChambaThere was no report of any casualty or damage to property,0
53,Red Fort violence: Deep Sidhu arrested by Special CellDelhi court sends activist-actor to 7-day police custody,1
54,Scientists develop new brain sensor to offer Alzheimer’s answersThat’s in contrast to the much faster transmissions that happen neuron-to-neuron,0
55,SC directs RBI to lay down regulations in 6 months for locker facility management in banks‘Banks cannot wash off their hands and claim that they bear no liability towards their customers for the operation of the locker’,1
56,"May not be new wave yet, vaccination plus Covid protocol key to quell surge in cases: Scientists",0
57,"6 foreign ministers to address Asia Economic DialogueVeteran diplomats, WTO experts, global bankers to also participate",1
58,Covid curbs to continue: Punjab CM,0
59,"200 Covid cases, 3 deaths in HimachalMaximum cases reported in border districts of Una, Kangra",1
60,"Amritsar police bust 12 illegal stills; seize illicit liquor, lahanThis is the fourth massive raid conducted by the rural police in the last 15 days",1
61,Rajya Sabha remembers former Haryana MP MS LatherMohinder Singh Lather passed away on January 2,0
62,"6 deaths, 337 new cases in Amritsar district",0
63,"More farmers from Tarn Taran, Amritsar leave for SinghuUnions accuse state govt of preventing them from reaching Delhi in garb of Covid curbs",1
64,Australia right behind Ashes foes England ahead of final India TestIndia lead the four-match series 2-1 and a win or a draw will see them through to the World Test Championship final; if England manage a victory it will pave the way for Australia to play new Zealand in the summit clash,0
65,UK’s Prince Philip spends seventh night in hospitalBuckingham Palace have said he was expected to remain at the hospital for a few days for observation,1
66,2 Minute ReadSchool in Maharashtra transforms dead tree stump into 6-feet pencil,0
67,Mamata heaping abuse on me as she is frustrated over TMC’s impending defeat: PM Modi,0
68,Government launches ‘mera ration’ mobile app under ‘One Nation One Ration Card’ programmeAt present 32 states and UTs are covered under ONORC,0
69,"Domestic air traffic may be back to full pre-COVID-19 level by summer: PuriThe minister said that barring the first quarter of 2020 (April-June), there has been a sharp recovery in passenger traffic from July onwards",0
70,Coal washing: Supreme Court asks PSPCL to release dues with interest,1
71,"Toll plazas in Punjab shut, uncertainty looms over mandatory use of FASTag",1
72,"Thing about being a Test batsman is that you handle all conditions: Stokes on pitchesAhead of the day/night Test here starting Wednesday, Stokes wondered how the newly-refurbished Motera strip would behave",0
73,"23 out of 34 posts of Armed Forces Tribunal vacant; 19,000 cases pending, MoD tells ParliamentThe Ministry’s data also shows that till February 28, 2021, a total of 18,829 cases were pending for disposal before its 11 benches",1
74,"EnvironmentTwo-thirds of tropical rainforest destroyed or degraded globally, NGO says",0
75,"Retired judge to probe allegations against me: Maharashtra Home Minister Anil Deshmukh'The truth will come out after a probe into the matter', says Deshmukh",1
76,J&K: Kashmiri Pandit applicants slam offline registration as Ayushman Bharat benefits elude themThe scheme was launched in the union territory by Prime Minister Narendra Modi on December 26 last year,1
77,Thieves take away ATM with Rs 18.88LUse vehicle to dislodge machine; raids on,0
78,Punjab debt to double in five years: CAG,1
79,Olympics will go ahead regardless of pandemic situation: Tokyo 2020 prezThe 2020 Games were postponed last year due to the global spread of the novel coronavirus,0
80,Traffic slows in Suez Canal as tanker faces difficulties 3 tug boats sent to its aid,0
81,"CABINET MEETPunjab to amend Prisons Act, will strengthen securityNod to construction of 25K houses for EWS",0
82,Maharashtra minister Chhagan Bhujbal tests coronavirus positiveHe is the seventh minister to be infected by the novel coronavirus this month,0
83,"Man shoots son at Tarn Taran villageVictim was alcoholic, suspect at large",1
84,"Accomplice of suspected pro-Khalistan terrorists arrested in UPParamjit, Maltani were allegedly preparing Jagdev Singh to carry out anti-national activities",1
85,Spain: 8 jailed for burning police van amid rapper protestsAnother five people were also arrested during the clashes but were released by the judge,1
86,2-minute readRare modern Indian art to make auction debut in late March sale,0
87,5 bombs found near Markanda river in Ambala; 2 of them defusedLocals spotted the bombs and informed the police,1
88,"Depression, anxiety linked to earlier onset of Alzheimer's disease",0
89,Chamba ranked 4th in development in nationwide rankings announced by NITI Aayog,1
